user.screen_name,full_text,id
catrathustra,@24AheadDotCom @Kevin_Faulconer I wish he was a SJW instead of a maga loser,1381454109505593344
39waterfalls,No matter what you do for black ppl they will forever have a nigger mentality,1381454095312113667
mvriposa_,Tik tok is just SJW Twitter with videos,1381454074026016771
dingbatqueen,@wiseconnector My European refugee and immigrant parents made me a displaced person too. Many thousands of miles from where I dropped. But married a guy who grew up a couple of blocks from where we live now. My longest stint ever.,1381454059031433216
LosRealAli,@pareene Exactly!! Biden could never let a single immigrant in the country for the next 3 years and Hannity will be on TV claiming that Biden is installing red carpets and Apple HomeKits inside border tunnels.,1381453877388578816
guamwatt,@mkr_ultra @r0wdy_ Peacocks at Turtle Bay Resort parking lot. Kolea. Small songbird in my yard. https://t.co/Q3TfgxLCtp,1381453846753374208
_HolyWoodHarmon,Boy you sound crazy as hell. Mane started the whole situation then tried to pull the race card😂😂 https://t.co/IMHd7iMz1e,1381453791841640450
RTDPhD,"Hey @AndrewYang this is what ""cracking down on unlicensed vendors"" looks like. Four cops bullying a scared immigrant woman trying to support her family. Do you really watch this and say, ""you know whose side  I'm on? Those men with guns arresting a lady for selling fried dough! https://t.co/K4e9Ce2h3x",1381453705833283586
JoeSKLee,"@PSulliv @marchandsteve @AndrewYang Please be wary of misinfo on Yang.
There were two tweets on street vendors. Both in context to a bill supported by the advocacy group Street Vendor Project. The bill is discussed in this article about the hardships faced by immigrant vendors. 
https://t.co/8ry5ZWZrBK https://t.co/gHukhgpYdB",1381453637331910659
JungmanLaura,@TonyGonzales4TX But look at how well that wall that Trump built worked!  And he only had to steal $3.8 billion from the U.S. military to build it!!  Yessirree!  That wall sure kept those immigrant children out! https://t.co/BlFdQ7d2Vj,1381453448516866054
WMAF_Radio,Every Nigger Is A Star (demo) -  Boris Gardiner,1381453425980882953
CryptoNeeng,"Let's explore the portfolio of 
@IOSGVC
a research-driven Venture capital focusing on Open Finance, Web 3.0, and the cross-chain industry.

Are your gems here?
$DHT $CRU $KEEP $ICP $NIM $DAOFI $GIV $WOO $XPRT $NEAR $DOT $ATOM $AVAX $KSM $PHA $SNX $CELR $ZIL $MKR $STX $POND $IOTX https://t.co/WmztZwJJBD",1381453401825767427
britannicaspear,"@CesarVargas365 so you spend your entire career and ""About Me"" on your website riding the coattails off a real immigrant named Cesar Vargas? do publications know youre not him when you call?",1381453322264084488
Spenglerfan1982,"@HappyPawsTreats Someone once said ""I've always been saying for while, there is NO ""culture war"". There has been there never will. Just like any fads from before they come and they go. I can guarantee you that near the end of this decade this ""WOKE/SJW/cancel culture will die out",1381453197638778881
BJPLUVSCONGRES,"@Victim_Card_ @Vroomvroom25 A beggar also means a person who snatches rightful job from rightful owner. 
Beggar also means who does RANDEEp RONA for anything n everything. 
Prove me wrong.",1381453185395515396
TheDrPinky,@r0wdy_ @mkr_ultra Squawk,1381453154861080577
EkocraftDoomMan,"@toodanku feminist saying doom eternal is ""xenophobic"",it was during the super gore nest trailer
it wasnt even anti immigrant",1381453029132574723
loanvuhawaiied1,@kattaylor @schoolmeals4all It is time to be United it is not time for divided and their personal interest!  People are suffering from middle class of White House Washington DC without religious or governance in immigrant who are being held!  They are aiming to attack innocent sky house!,1381453000221224960
debtheskep,@sirdonbwilson Evil Nigger??? I mean the taste...,1381452981493592067
Mahnnazz5,"@VP Diversity visa winners 2017-2020 denied by Muslim/African/Immigrant Bans should've been lawful permanent residents of US. A new bill like the one in 1998 will help them. Congress needs to act.
#I_Want_My_Miracle_Back 
#MuslimBan 
#NoBan
#DV2017-2020 https://t.co/21etY0mhDv",1381452979228831745
OMGlob_Melissa,"@WJasniewski @KussmaulVicki @AOC @tedcruz ""Someone is an immigrant with a child, therefore they are a drug cartel""; ""Someone from Yemen has applied for Asylum, therefore they are a terrorist."" 

Must be a very scary world for you.",1381452970223669257
winnersusedrugs,like yeah that's more plausible. I just assume that's what those two laughed at. Maybe pushing a small immigrant child into a river.,1381452953786052613
